FID,Geocodigo,Nome,MoradDPPOCanalizCasaTot,MoradDPPOCanalizTerrTot,MoradDPPOSemCanalizTot,MoradDPPOTotTot,PercMoradDPPOCanalizCasaTot,PercMoradDPPOCanalizTerrTot,PercMoradDPPOSemCanalizTot
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2c,1100015,Alta Floresta D'Oeste - RO,20827,555,58,21440,97.14,2.59,0.27
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2b,1100023,Ariquemes - RO,93419,1833,900,96152,97.16,1.91,0.94
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2a,1100031,Cabixi - RO,4755,591,5,5351,88.86,11.04,0.09
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e29,1100049,Cacoal - RO,85389,971,134,86494,98.72,1.12,0.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e28,1100056,Cerejeiras - RO,15187,502,109,15798,96.13,3.18,0.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e27,1100064,Colorado do Oeste - RO,15548,106,9,15663,99.27,0.68,0.06
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e26,1100072,Corumbiara - RO,7410,69,24,7503,98.76,0.92,0.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e25,1100080,Costa Marques - RO,11158,1078,290,12526,89.08,8.61,2.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e24,1100098,Espigão D'Oeste - RO,28845,293,191,29329,98.35,1,0.65
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e23,1100106,Guajará-Mirim - RO,30155,5263,3545,38963,77.39,13.51,9.1
